sequence_name	collection_date
3	2024-02-05
4	2024-02-19
12	2024-02-25
14	2024-03-06
21	2024-03-13
23	2024-03-21
24	2024-03-25
31	2024-04-06
35	2024-03-21
37	2024-04-13
43	2024-04-24
47	2024-05-01
50	2024-05-05
57	2024-05-12
62	2024-05-24
66	2024-05-26
70	2024-05-29
72	2024-06-03
78	2024-06-09
79	2024-06-13
80	2024-06-13
84	2024-06-11
88	2024-06-14
90	2024-06-01
96	2024-06-24
98	2024-06-21
99	2024-06-10
104	2024-07-01
105	2024-06-07
106	2024-07-03
114	2024-07-03
116	2024-07-05
119	2024-07-10
120	2024-07-04
126	2024-07-11
129	2024-07-16
130	2024-07-16
134	2024-07-17
137	2024-07-19
139	2024-07-24
144	2024-07-24
153	2024-07-12
156	2024-07-28
160	2024-08-07
161	2024-07-26
162	2024-07-26
164	2024-08-07
165	2024-08-12
166	2024-07-29
168	2024-07-27
170	2024-08-07
175	2024-07-28
178	2024-08-15
179	2024-08-18
180	2024-08-19
183	2024-08-12
184	2024-08-26
186	2024-08-21
187	2024-08-27
188	2024-08-07
190	2024-08-30
194	2024-08-15
197	2024-09-05
199	2024-08-24
200	2024-09-07
202	2024-09-14
204	2024-09-12
211	2024-08-30
218	2024-09-20
224	2024-09-28
230	2024-09-30
235	2024-10-02
239	2024-09-24
240	2024-10-05
244	2024-09-19
245	2024-10-08
246	2024-10-11
248	2024-10-04
250	2024-09-22
251	2024-10-03
253	2024-10-08
254	2024-09-22
258	2024-10-12
261	2024-09-28
272	2024-10-04
273	2024-10-09
275	2024-10-14
279	2024-10-21
282	2024-10-23
284	2024-10-22
285	2024-10-24
287	2024-10-23
298	2024-10-18
301	2024-10-30
302	2024-10-31
309	2024-10-31
314	2024-11-03
316	2024-10-31
319	2024-11-08
330	2024-11-18
335	2024-11-12
336	2024-11-18
347	2024-11-21
350	2024-11-11
351	2024-11-24
352	2024-11-21
353	2024-11-22
356	2024-11-13
357	2024-11-21
360	2024-11-24
366	2024-11-14
381	2024-11-24
383	2024-11-13
393	2024-11-30
394	2024-11-19
396	2024-11-20
397	2024-12-04
402	2024-11-18
406	2024-11-25
408	2024-11-17
416	2024-12-11
421	2024-12-12
432	2024-12-14
439	2024-12-18
443	2024-11-26
444	2024-12-22
448	2024-12-16
449	2024-12-17
450	2024-12-22
451	2024-12-06
458	2024-12-14
459	2024-12-23
462	2024-12-08
464	2024-12-23
471	2024-12-17
472	2024-12-26
475	2024-12-30
477	2024-12-28
478	2024-12-20
479	2024-12-29
482	2024-12-15
484	2024-12-29
488	2024-12-28
489	2025-01-01
491	2024-12-28
492	2024-12-30
502	2024-12-25
511	2024-12-25
514	2024-12-23
540	2025-01-01
